"asin","product_title","average_rating","total_reviews","review_author","author_badge","badge","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B00K8K937I","Puritan's Pride Super Strength Rapid Release Capsules Melatonin 120 Count (Pack of 2)","4.6","3273","Thomas B.","","Verified Purchase","Size: 120 Count (Pack of 2)","B00K8K937I","https://www.amazon.com/Puritans-Pride-Strength-Capsules-Melatonin/product-reviews/B00K8K937I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","4.0","May 02, 2021","United States ","These works great, I think the gel capsule dissolves much faster than the pressed pills.","","Max dose and it hits faster than other quick release.","","https://www.amazon.com/gp/profile/amzn1.account.AGZMOXZJJY4LWIL2X7P7UO5SHJOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B00K8K937I/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=26&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Puritan's Pride","https://www.amazon.com/gp/customer-reviews/R34JMHIZ2JQLW5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00K8K937I","B00K8K937I"
"B00K8K937I","Puritan's Pride Super Strength Rapid Release Capsules Melatonin 120 Count (Pack of 2)","4.6","3273","Andie Allday","","Verified Purchase","Size: 120 Count (Pack of 1)","B004R66PVG","https://www.amazon.com/Puritans-Pride-Strength-Capsules-Melatonin/product-reviews/B004R66PVG/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","4.0","May 11, 2022","United States","Powerful! Will knock you right out!","","Powerful!","","https://www.amazon.com/gp/profile/amzn1.account.AGX6ZBLLOL3EIGQXKIFRD7RVGVUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B00K8K937I/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=8&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Puritan's Pride","https://www.amazon.com/gp/customer-reviews/R1R8OR4NWSN4QK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00K8K937I","B00K8K937I"
"B00K8K937I","Puritan's Pride Super Strength Rapid Release Capsules Melatonin 120 Count (Pack of 2)","4.6","3273","douglas w smith","","Verified Purchase","Size: 120 Count (Pack of 2)","B00K8K937I","https://www.amazon.com/Puritans-Pride-Strength-Capsules-Melatonin/product-reviews/B00K8K937I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","May 10, 2021","United States ","Best melatonin I've tried,so much better then most","","Amazing","","https://www.amazon.com/gp/profile/amzn1.account.AGQ243V56A5EBLOLWVH5IMGQZ73A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B00K8K937I/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=57&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Puritan's Pride","https://www.amazon.com/gp/customer-reviews/R1KZ2BAXH1HW73/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00K8K937I","B00K8K937I"
"B00K8K937I","Puritan's Pride Super Strength Rapid Release Capsules Melatonin 120 Count (Pack of 2)","4.6","3273","Amazon Customer","","Verified Purchase","Size: 120 Count (Pack of 1)","B004R66PVG","https://www.amazon.com/Puritans-Pride-Strength-Capsules-Melatonin/product-reviews/B004R66PVG/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","April 20, 2017","United States","Works like a charm, great price.","","Five Stars","","https://www.amazon.com/gp/profile/amzn1.account.AFSQ52XCL3SA3FJOMWRBOUOY3ESA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B00K8K937I/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=242&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Puritan's Pride","https://www.amazon.com/gp/customer-reviews/R4DI9Z4RRWXWG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00K8K937I","B00K8K937I"
"B00K8K937I","Puritan's Pride Super Strength Rapid Release Capsules Melatonin 120 Count (Pack of 2)","4.6","3273","Leslie Masters","","Verified Purchase","Size: 120 Count (Pack of 1)","B004R66PVG","https://www.amazon.com/Puritans-Pride-Strength-Capsules-Melatonin/product-reviews/B004R66PVG/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","August 18, 2020","United States","I love this product, I use it to sleep at night, in every time I take this melatonin, it is very helpful and it puts me to sleep pretty quick.","","This is one great product, people should try it.","","https://www.amazon.com/gp/profile/amzn1.account.AFHEEC2ELIUSGTAE6I34TNSIBNTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B00K8K937I/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=50&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Puritan's Pride","https://www.amazon.com/gp/customer-reviews/R2F0LRTES6OX8R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00K8K937I","B00K8K937I"
"B00K8K937I","Puritan's Pride Super Strength Rapid Release Capsules Melatonin 120 Count (Pack of 2)","4.6","3273","Jim Bennett","","Verified Purchase","Size: 120 Count (Pack of 2)","B00K8K937I","https://www.amazon.com/Puritans-Pride-Strength-Capsules-Melatonin/product-reviews/B00K8K937I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","4.0","September 06, 2019","United States ","There OK","","There OK","","https://www.amazon.com/gp/profile/amzn1.account.AGJIXQGZ6T3TTNM5N3I2QNJW353Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B00K8K937I/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=97&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Puritan's Pride","https://www.amazon.com/gp/customer-reviews/R3GCL7ZDQJVYFN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00K8K937I","B00K8K937I"
"B00K8K937I","Puritan's Pride Super Strength Rapid Release Capsules Melatonin 120 Count (Pack of 2)","4.6","3273","linda s.","","Verified Purchase","Size: 120 Count (Pack of 1)","B004R66PVG","https://www.amazon.com/Puritans-Pride-Strength-Capsules-Melatonin/product-reviews/B004R66PVG/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","March 22, 2017","United States ","Fast and as described","","As described","","https://www.amazon.com/gp/profile/amzn1.account.AHTIUUNJXXXVHTYL4KJBHXKJ5I4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B00K8K937I/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=252&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Puritan's Pride","https://www.amazon.com/gp/customer-reviews/R1PKPS553V7TDB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00K8K937I","B00K8K937I"
"B00K8K937I","Puritan's Pride Super Strength Rapid Release Capsules Melatonin 120 Count (Pack of 2)","4.6","3273","Jim W.","","Verified Purchase","Size: 120 Count (Pack of 2)","B00K8K937I","https://www.amazon.com/Puritans-Pride-Strength-Capsules-Melatonin/product-reviews/B00K8K937I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","October 20, 2018","United States","I've been taking melatonin for a while so I expected that when I purchased this product it may not have much effect on me because of tolerance. After two months of using Puritan's Pride it still has a strong effect on me. It used to take me about 45-60 minutes to fall asleep every night with my old melatonin, with this brand I usually fall asleep 20-25 minutes after I take it and I'll be out for a solid 8 hours at least. If I do happen to wake up within those 8 hours I'm able to fall right back to sleep again which I was never able to do.","","The strength is as advertised. Good product.","217","https://www.amazon.com/gp/profile/amzn1.account.AGA4PKD27OK6WT2ZDZZEBPDSUYTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B00K8K937I/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=24&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Puritan's Pride","https://www.amazon.com/gp/customer-reviews/R8WUQWZV4TNYV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00K8K937I","B00K8K937I"
"B00K8K937I","Puritan's Pride Super Strength Rapid Release Capsules Melatonin 120 Count (Pack of 2)","4.6","3273","Charles G","","Verified Purchase","Size: 120 Count (Pack of 2)","B00K8K937I","https://www.amazon.com/Puritans-Pride-Strength-Capsules-Melatonin/product-reviews/B00K8K937I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","February 05, 2021","United States","Helps with sleep along with L Tryptophan.","","Sleep aid","","https://www.amazon.com/gp/profile/amzn1.account.AGTX6QOKTD53MCYWTKIY4IFOLRJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B00K8K937I/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=70&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Puritan's Pride","https://www.amazon.com/gp/customer-reviews/R31RX0PSE1JP2U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00K8K937I","B00K8K937I"
"B00K8K937I","Puritan's Pride Super Strength Rapid Release Capsules Melatonin 120 Count (Pack of 2)","4.6","3273","tuckerspink","","Verified Purchase","Size: 120 Count (Pack of 2)","B00K8K937I","https://www.amazon.com/Puritans-Pride-Strength-Capsules-Melatonin/product-reviews/B00K8K937I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","October 16, 2016","United States ","Price is right, and it is a great product.","","and it is a great product.","","https://www.amazon.com/gp/profile/amzn1.account.AHVX27NID3QC5YYI2A5OFUVMLF6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B00K8K937I/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=244&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Puritan's Pride","https://www.amazon.com/gp/customer-reviews/R3D34TW4R0VFVN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00K8K937I","B00K8K937I"
