"asin","product_title","average_rating","total_reviews","review_author","author_badge","badge","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B079TD7HG2","Natrol Melatonin Sleep Aid Gummy, Fall Asleep Faster, Stay Asleep Longer, 2 Gummies Per Serving, Drug Free and Gelatin Free, 10mg, 90 Strawberry Flavored Gummies","4.7","2749","Emily Hatley","","Verified Purchase","Style: 10mg | Size: 90 Count (Pack of 1)","B079TD7HG2","https://www.amazon.com/Natrol-Melatonin-10Mg-Gummy-Count/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","3.0","December 11, 2019","United States ","I’m disappointed in the quality of this product. I purchase this product at my local grocer and it works great! But these seem to not work at all.","","Not so much","","https://www.amazon.com/gp/profile/amzn1.account.AEWJKFZNIAVQJF6JBEG6KXHO42OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=151&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Natrol","https://www.amazon.com/gp/customer-reviews/R238C1UOD2021N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079TD7HG2","B079TD7HG2"
"B079TD7HG2","Natrol Melatonin Sleep Aid Gummy, Fall Asleep Faster, Stay Asleep Longer, 2 Gummies Per Serving, Drug Free and Gelatin Free, 10mg, 90 Strawberry Flavored Gummies","4.7","2749","Stacy Lynn","","","Style: 10mg | Size: 90 Count (Pack of 1)","B079TD7HG2","https://www.amazon.com/Natrol-Melatonin-10Mg-Gummy-Count/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","October 10, 2018","United States ","These are the best tasteing and working onez i have found. All natural. My son has autism and has to have yhem to go to bed they work. Give them at 73p just one hes put at 9","","There great","","https://www.amazon.com/gp/profile/amzn1.account.AG5MYFXF655GYKJPUTWJ7LBW2GKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=238&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Natrol","https://www.amazon.com/gp/customer-reviews/R3QTRIAJ1VSLF2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079TD7HG2","B079TD7HG2"
"B079TD7HG2","Natrol Melatonin Sleep Aid Gummy, Fall Asleep Faster, Stay Asleep Longer, 2 Gummies Per Serving, Drug Free and Gelatin Free, 10mg, 90 Strawberry Flavored Gummies","4.7","2749","Anthony","","Verified Purchase","Style: 10mg | Size: 90 Count (Pack of 1)","B079TD7HG2","https://www.amazon.com/Natrol-Melatonin-10Mg-Gummy-Count/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","May 21, 2021","United States ","Best on the market, could be cheaper but I’m frugal 🤷🏼‍♂️","","Best brand","","https://www.amazon.com/gp/profile/amzn1.account.AF5RA2TISZBGWHO666CFXAMPXXQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=95&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Natrol","https://www.amazon.com/gp/customer-reviews/RK8OZXYRA593G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079TD7HG2","B079TD7HG2"
"B079TD7HG2","Natrol Melatonin Sleep Aid Gummy, Fall Asleep Faster, Stay Asleep Longer, 2 Gummies Per Serving, Drug Free and Gelatin Free, 10mg, 90 Strawberry Flavored Gummies","4.7","2749","Jo Reader","","Verified Purchase","Style: 10mg | Size: 140 Count (Pack of 1)","B08666GMWG","https://www.amazon.com/Natrol-Melatonin-10Mg-Gummy-Count/product-reviews/B08666GMWG/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","2.0","December 13, 2020","United States ","Flavor palatable but kinda flat; definitely not the worst I’ve had. Texture is great! I think 10mg is too strong for me. I thought I was buying 5mg. My error. Too much melatonin keeps me awake for some reason.","","Good price for the quality and quantity of 10mg.","","https://www.amazon.com/gp/profile/amzn1.account.AFWOFIKYADGJYCG3KJQ5VIIIA7QQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=168&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Natrol","https://www.amazon.com/gp/customer-reviews/R2RUVV8IML6ZZZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079TD7HG2","B079TD7HG2"
"B079TD7HG2","Natrol Melatonin Sleep Aid Gummy, Fall Asleep Faster, Stay Asleep Longer, 2 Gummies Per Serving, Drug Free and Gelatin Free, 10mg, 90 Strawberry Flavored Gummies","4.7","2749","Rocio K Rivas","","Verified Purchase","Style: 10mg | Size: 140 Count (Pack of 1)","B08666GMWG","https://www.amazon.com/Natrol-Melatonin-10Mg-Gummy-Count/product-reviews/B08666GMWG/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","July 20, 2020","United States","They are actually 5 mg, you have to take 2 gummies to achieve the 10 mg.","","NOT 10 mg","1","https://www.amazon.com/gp/profile/amzn1.account.AHXSZVW3RIDWMSWUM6RZKA6QBPGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=227&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Natrol","https://www.amazon.com/gp/customer-reviews/R1EP8788UWBSU3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079TD7HG2","B079TD7HG2"
"B079TD7HG2","Natrol Melatonin Sleep Aid Gummy, Fall Asleep Faster, Stay Asleep Longer, 2 Gummies Per Serving, Drug Free and Gelatin Free, 10mg, 90 Strawberry Flavored Gummies","4.7","2749","Lauri D","","Verified Purchase","Style: 5mg | Size: 90 Count (Pack of 1)","B079TD92GS","https://www.amazon.com/Natrol-Melatonin-10Mg-Gummy-Count/product-reviews/B079TD92GS/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","July 28, 2019","United States","Ok, so these gummies are not my first choice for flavor, but they honestly aren't bad. They certainly do the intended job. No problem, no contact with seller","","Yep, good ones","","https://www.amazon.com/gp/profile/amzn1.account.AGV7FT6G3SCN3JUDZC3B3RVPGRYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=135&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Natrol","https://www.amazon.com/gp/customer-reviews/R1PJC7K7E2HBIH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079TD7HG2","B079TD7HG2"
"B079TD7HG2","Natrol Melatonin Sleep Aid Gummy, Fall Asleep Faster, Stay Asleep Longer, 2 Gummies Per Serving, Drug Free and Gelatin Free, 10mg, 90 Strawberry Flavored Gummies","4.7","2749","Gigi","","Verified Purchase","Style: 5mg | Size: 90 Count (Pack of 1)","B079TD92GS","https://www.amazon.com/Natrol-Melatonin-10Mg-Gummy-Count/product-reviews/B079TD92GS/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","November 22, 2020","United States","They do a good job at putting me to sleep since I have a messed up sleep schedule. The only con is that they are delicious so I want to eat them as a snack.","","Helps me sleep quickly","","https://www.amazon.com/gp/profile/amzn1.account.AHKSYI5GUMKHOKW3TOJ4K6O6R62Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=83&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Natrol","https://www.amazon.com/gp/customer-reviews/R3GME08RV0HEIV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079TD7HG2","B079TD7HG2"
"B079TD7HG2","Natrol Melatonin Sleep Aid Gummy, Fall Asleep Faster, Stay Asleep Longer, 2 Gummies Per Serving, Drug Free and Gelatin Free, 10mg, 90 Strawberry Flavored Gummies","4.7","2749","CJ Jakubowski","","Verified Purchase","Style: 10mg | Size: 140 Count (Pack of 1)","B08666GMWG","https://www.amazon.com/Natrol-Melatonin-10Mg-Gummy-Count/product-reviews/B08666GMWG/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","October 23, 2020","United States ","These put me right to sleep and didn't leave me groggy in the morning, I wake up feeling refreshed","","These are great!","","https://www.amazon.com/gp/profile/amzn1.account.AHO2O7KWXUAFSAUMSYUY75AWDZJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=103&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Natrol","https://www.amazon.com/gp/customer-reviews/R199WDX1OKGD4A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079TD7HG2","B079TD7HG2"
"B079TD7HG2","Natrol Melatonin Sleep Aid Gummy, Fall Asleep Faster, Stay Asleep Longer, 2 Gummies Per Serving, Drug Free and Gelatin Free, 10mg, 90 Strawberry Flavored Gummies","4.7","2749","Love, Amira","","Verified Purchase","Style: 10mg | Size: 90 Count (Pack of 1)","B079TD7HG2","https://www.amazon.com/Natrol-Melatonin-10Mg-Gummy-Count/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","August 19, 2018","United States","These gummies help me fall asleep within 20-30 mins. Two gummies = 10mg. I initially started with the recommended dose but in days where I’ve consumed a lot of caffeine throughout the day, I’ll take 3-4 gummies at night. These are tasty, easy to chew and swallow. I especially like the fact that they don’t stick to your teeth or gums. Even better, non-gmo, vegan and gelatin free. Just make sure that you’re in bed and your alarm is set shortly after taking these because you might fall fast asleep & forget to set your alarm. 😆","","Does the job 👍","4","https://www.amazon.com/gp/profile/amzn1.account.AEBGTB6OAHQXPCZCR2A5IO64HF3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=75&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Natrol","https://www.amazon.com/gp/customer-reviews/R2AMIB7PDURZ6P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079TD7HG2","B079TD7HG2"
"B079TD7HG2","Natrol Melatonin Sleep Aid Gummy, Fall Asleep Faster, Stay Asleep Longer, 2 Gummies Per Serving, Drug Free and Gelatin Free, 10mg, 90 Strawberry Flavored Gummies","4.7","2749","JoeW","","Verified Purchase","Style: 10mg | Size: 90 Count (Pack of 1)","B079TD7HG2","https://www.amazon.com/Natrol-Melatonin-10Mg-Gummy-Count/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","2.0","April 28, 2021","United States ","Not enough bang for the bucks.","","Ok product but costs too much.","","https://www.amazon.com/gp/profile/amzn1.account.AHFESREUNUTEQRUVQETSRBJAD3ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B079TD7HG2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=208&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Natrol","https://www.amazon.com/gp/customer-reviews/R2LHDRDG2G9G88/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079TD7HG2","B079TD7HG2"
