"asin","product_title","average_rating","total_reviews","review_author","author_badge","badge","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B07N46LTJJ","ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count","4.5","1316","Erin","","","","","","2.0","February 03, 2022","United States ","I managed to force down a couple of gummies and got some sleep but they taste like garbage. The taste alone made me gag and I really can’t use the rest.","","Bad taste","","https://www.amazon.com/gp/profile/amzn1.account.AFY4M6BGMNPQMN6EWPPFIQ7SHRFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07N46LTJJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=112&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","ZzzQuil","https://www.amazon.com/gp/customer-reviews/RCXY42K92O58Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07N46LTJJ","B07N46LTJJ"
"B07N46LTJJ","ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count","4.5","1316","A Customer","VINE VOICE","Verified Purchase","","","","3.0","August 01, 2021","United States","I’ve heard so many good things about this product that I had to try it for my insomnia. My sister loves these, because they help her get to sleep faster and helps her stay asleep. Not me! Not even after a hot bath, scented candles, a philosophy book, and classical music. I even tried warm milk, and then turkey. Ah well. At least it works for my sister. 3 stars because it works for her but not for me. PS The first ingredient is CORN SYRUP—not even cane sugar. Any product containing fructose is not ideal for nighttime use, after I’ve brushed my teeth.","","Works for my sister, but not for me. Plus it contains CORN SYRUP!","9","https://www.amazon.com/gp/profile/amzn1.account.AEVU4SJ7CGGPWWZQ6FPRSQC62A4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07N46LTJJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=21&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","ZzzQuil","https://www.amazon.com/gp/customer-reviews/R3UEOE8Z5OK0FA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07N46LTJJ","B07N46LTJJ"
"B07N46LTJJ","ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count","4.5","1316","Grandma Melinda","","Verified Purchase","","","","1.0","August 17, 2021","United States ","The first ingredients are ""Corn syrup, water and sugar"". These were covered with sugar and so sweet that they made me nauseous. There was no warning for diabetics. I don't want all of that sugar on my teeth right before bed. Don't buy them.","","Sickeningly sweet - loaded with sugar","","https://www.amazon.com/gp/profile/amzn1.account.AEP4ZB7SFWRCEQBSXZ4HJD7LZJWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07N46LTJJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=89&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","ZzzQuil","https://www.amazon.com/gp/customer-reviews/R2NRE2UX213702/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07N46LTJJ","B07N46LTJJ"
"B07N46LTJJ","ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count","4.5","1316","Judy","","Verified Purchase","","","","5.0","September 16, 2020","United States","Product works! End up getting sleepy like boo from Monsters Inc. lol. Not a bad tasting gummy at all!","","Actually works!","","https://www.amazon.com/gp/profile/amzn1.account.AG7DAWGRF2UKUCCWLMA4LPXY5X5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07N46LTJJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=58&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","ZzzQuil","https://www.amazon.com/gp/customer-reviews/R1HEGHNIGEQTV6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07N46LTJJ","B07N46LTJJ"
"B07N46LTJJ","ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count","4.5","1316","nancy garris","","Verified Purchase","","","","5.0","December 08, 2020","United States","You go to sleep very quickly!","","Works great","","https://www.amazon.com/gp/profile/amzn1.account.AFBNEDS54ZEIEQKODQ3S2Z55EWVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07N46LTJJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=71&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","ZzzQuil","https://www.amazon.com/gp/customer-reviews/R3KIOUSBU1SHUZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07N46LTJJ","B07N46LTJJ"
"B07N46LTJJ","ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count","4.5","1316","CLIFTON LOWERY","","Verified Purchase","","","","5.0","July 16, 2022","United States","Great flavor but leaves an after taste in your mouth","","It’s a NyQuil product","","https://www.amazon.com/gp/profile/amzn1.account.AHOJ6ZBPX3VEF6CSSMAMZ3BF2UTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07N46LTJJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=14&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","ZzzQuil","https://www.amazon.com/gp/customer-reviews/R179Y16CGQJO7V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07N46LTJJ","B07N46LTJJ"
"B07N46LTJJ","ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count","4.5","1316","Amazon Customer","","Verified Purchase","","","","4.0","April 26, 2020","United States ","Works great, tasted funky. I would buy again though!","","Great!","","https://www.amazon.com/gp/profile/amzn1.account.AEHKI7JKIOTJWGTJ7KCNQXHOTADA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07N46LTJJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=55&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","ZzzQuil","https://www.amazon.com/gp/customer-reviews/R21IF7J4V6SAXJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07N46LTJJ","B07N46LTJJ"
"B07N46LTJJ","ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count","4.5","1316","pinkpanther","","Verified Purchase","","","","5.0","June 28, 2022","United States","I have been using these for a couple of years and have no complaints. I sleep better now that I take these. Usually about 20 minutes before bedtime.","","Works great","","https://www.amazon.com/gp/profile/amzn1.account.AFUKM3AGIKCWGWKIL7JIAJBHKMDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07N46LTJJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=116&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","ZzzQuil","https://www.amazon.com/gp/customer-reviews/RVAH9RT14YGEC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07N46LTJJ","B07N46LTJJ"
"B07N46LTJJ","ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count","4.5","1316","Nancy C.","","Verified Purchase","","","","5.0","January 10, 2022","United States ","I enjoy that this product works consistently. I've tried others but this particular brand works best for me.","","This works","","https://www.amazon.com/gp/profile/amzn1.account.AFMWYULBQXUIIOAKBJ6HPCATFNMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07N46LTJJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=120&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","ZzzQuil","https://www.amazon.com/gp/customer-reviews/R2SXGRMVZTC2LC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07N46LTJJ","B07N46LTJJ"
"B07N46LTJJ","ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count","4.5","1316","Jabraham","","Verified Purchase","","","","5.0","November 06, 2020","United States","Doesn’t taste too bad. I take it right before bed, I get some of the best sleep I ever have, and I don’t wake up feeling groggy which is really nice.","","Taste good, gives good sleep, not groggy when waking up","","https://www.amazon.com/gp/profile/amzn1.account.AFPFER4ISDZIGMBKVXVTPGZTJ7OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07N46LTJJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=47&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","ZzzQuil","https://www.amazon.com/gp/customer-reviews/R2ZX7I0EM7741L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07N46LTJJ","B07N46LTJJ"
