"asin","product_title","average_rating","total_reviews","review_author","author_badge","badge","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","Jay","","Verified Purchase","","","","5.0","December 10, 2022","United States ","Product works as described. Simply hold inter your tongue about 1/2 hour or so before bedtime. Taste is ok.","","Works","","https://www.amazon.com/gp/profile/amzn1.account.AHHJBA4GGODVJBTF3MCURLTKTFBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=3&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/R18D3XTCJLVOPB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","Esc Go","","Verified Purchase","","","","5.0","September 19, 2022","United States ","La compre porque investigue y concluí que era la mejor. Tiene un sabor excelente, y sería mejor para todo el que la consume partir la pastilla en 2 pedazos y beberse solo la mitad, ya que considero que una sola pastilla contiene más de la melatonina recomendada diaria. Realmente hay muchas personas con problemas reales para poder conciliar el sueño, pero me eh dado cuenta que a veces eso puede ser mental o ansiedad. Ya que compre este frasco de melatonina para poder descansar, pero aún tomándomela no podría dormir bien, ya que implante en mi mente la idea de que no importa lo que hiciera no dormiría, y así mismo pasaba. Hasta que empecé a no sobre pensar las cosas y dejar que las cosas fluyan. Ya estoy durmiendo muy bien y nisiquiera estoy consumiendo la melatonina. La mente es muy poderosa debemos de prestar atención a esos factores. Pero en lo personal me gustó mucho el producto.","","Buen sabor.","1","https://www.amazon.com/gp/profile/amzn1.account.AG3CJEQIX4AWDXEONF2MBC2YDS6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=66&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/R24JTCGHYTJQBX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","Dawn Wilson","","Verified Purchase","","","","5.0","February 11, 2021","United States ","Flavor is good, not chalky! Easily dissolve","","Good product","","https://www.amazon.com/gp/profile/amzn1.account.AEM7FZXLBKWHB4DOGFSTJ3HJCVVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=42&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/ROABE1IAXN7DJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","Margaret hodgson","","Verified Purchase","","","","3.0","October 06, 2022","United States ","Works really well just taste really gross","","The taste","","https://www.amazon.com/gp/profile/amzn1.account.AHIODCE55RPYUFHZJAGGRZAFVVVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=11&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/R4T5896BMGCYH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","Troy Acton","","Verified Purchase","","","","5.0","January 17, 2021","United States","Thank You","","Thank You","","https://www.amazon.com/gp/profile/amzn1.account.AFS4BDUFHQKK2K6JASU7RACMQI2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=49&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/R2DNX6YKTPK0IS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","Roger Thompson","","Verified Purchase","","","","5.0","June 30, 2021","United States ","These are a great value for the price. My sleep quality has improved and I get an adequate amount of sleep, usually about 9 hours a night.","","I am glad I found a Melatonin that works for me.","","https://www.amazon.com/gp/profile/amzn1.account.AE3BSW7QTJZOILMWYYVXU46CZ6VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=25&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/R1BV9C5YA1PH9T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","N8 F8","","Verified Purchase","","","","5.0","September 17, 2022","United States","r easy to let dissolve under tongue. little bitty !o]","","GR8 flavor","","https://www.amazon.com/gp/profile/amzn1.account.AERX3JYURZIGO4LFTZSSOCBE4YGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=67&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/R3JC1TPSZUHF9R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","Iwasthere","","Verified Purchase","","","","5.0","June 28, 2021","United States","It works, to me melatonin is melatonin, the chief benefits are the 12mg strength and the fruit flavor","","It works, to me the chief qualities are the 12mg strength and the fruit flavor","","https://www.amazon.com/gp/profile/amzn1.account.AGAY7UPITUUJTZEX6PT4IN63BHBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=28&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/R1KF5GNCY7TJ7W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","Cup Cake","","Verified Purchase","","","","4.0","September 24, 2022","United States","Such a tiny pill will help you drift into restful sleep.","","12 MG Nice","","https://www.amazon.com/gp/profile/amzn1.account.AEH43J45K4HTOHHUDU4IAGUWTZCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=76&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/RXK3LTLGI0NLL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","Michael Robbins","","Verified Purchase","","","","5.0","March 01, 2022","United States","All is good my wife opened the bottle","","All is good my wife opened the bottle","","https://www.amazon.com/gp/profile/amzn1.account.AEIPMX4S7P4NNAJSHQPBDLH6RALA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=19&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/R3CFNKTQ8OCVBD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
"B08451719W","Carlyle Melatonin 12 mg Fast Dissolve 300 Tablets | Drug Free | Natural Berry Flavor | Vegetarian, Non-GMO, Gluten Free","4.7","768","Dianne s.","","Verified Purchase","","","","5.0","April 16, 2021","United States","Taste great","","Awesome","","https://www.amazon.com/gp/profile/amzn1.account.AGDU7YTQXXIFWYKGA7ZJUK4OUFHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B08451719W/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=65&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Carlyle","https://www.amazon.com/gp/customer-reviews/R18ILQTYF7WXT2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08451719W","B08451719W"
